black,white,turn,win
1400,2100,35,1
1400,2200,27,1
1400,2300,33,0
1400,2400,33,0
1400,2500,35,1
1400,2600,35,1
1400,2700,29,0
1400,2800,27,1
1400,2900,41,0
1400,3000,39,1
1400,3100,63,1
1400,3200,35,1
1400,3300,37,0
1400,3400,35,1
1400,3500,35,1
1400,3600,31,1
1400,3700,37,0
1400,3800,41,0
1400,3900,37,0
1400,4000,41,0
1400,4100,29,0
1400,4200,33,0
1400,4300,37,0
1400,4400,31,1
1400,4500,39,1
1400,4600,40,0
1400,4700,35,1
1400,4800,37,0
1400,4900,33,0
1400,5000,43,1
1400,5100,39,1
1400,5200,56,0
1400,5300,47,1
1400,5400,41,0
1400,5500,43,1
1400,5600,46,1
1400,5700,35,1
1400,5800,37,0
1400,5900,37,0
1400,6000,29,0
1400,6100,31,1
1400,6200,35,1
1400,6300,39,1
1400,6400,33,0
1400,6500,35,1
1400,6600,35,1
1400,6700,27,1
1400,6800,39,1
1400,6900,56,0
1400,7000,43,1
1400,7100,41,0
1400,7200,57,0
1400,7300,39,1
1400,7400,39,1
1400,7500,35,1
1400,7600,27,1
1400,7700,39,1
1400,7800,35,1
1400,7900,39,1
1400,8000,33,0
1500,0,29,0
1500,100,29,0
1500,200,49,0
1500,300,33,0
1500,400,45,0
1500,500,31,1
1500,600,37,0
1500,700,57,0
1500,800,35,1
1500,900,29,0
1500,1000,31,1
1500,1100,31,1
1500,1200,29,0
1500,1300,31,1
1500,1400,53,0
1500,1500,31,1
1500,1600,35,1
1500,1700,29,0
1500,1800,29,0
1500,1900,37,0
1500,2000,39,1
1500,2100,29,0
1500,2200,35,1
1500,2300,39,1
1500,2400,33,0
1500,2500,35,1
1500,2600,35,1
1500,2700,67,1
1500,2800,39,1
1500,2900,39,1
1500,3000,47,1
1500,3100,45,0
1500,3200,35,1
1500,3300,39,1
1500,3400,35,1
1500,3500,35,1
1500,3600,41,0
1500,3700,35,1
1500,3800,35,1
1500,3900,41,0
1500,4000,49,0
1500,4100,29,0
1500,4200,35,1
1500,4300,35,1
1500,4400,41,0
1500,4500,39,1
1500,4600,35,1
1500,4700,35,1
1500,4800,37,0
1500,4900,33,0
1500,5000,35,1
1500,5100,43,1
1500,5200,49,0
1500,5300,85,0
1500,5400,35,1
1500,5500,51,1
1500,5600,49,0
1500,5700,35,1
1500,5800,32,0
1500,5900,39,1
1500,6000,39,1
1500,6100,35,1
1500,6200,35,1
1500,6300,39,1
1500,6400,43,1
1500,6500,35,1
1500,6600,35,1
1500,6700,63,1
1500,6800,35,1
1500,6900,49,0
1500,7000,35,1
1500,7100,35,1
1500,7200,35,1
1500,7300,58,1
1500,7400,35,1
1500,7500,35,1
1500,7600,35,1
1500,7700,39,1
1500,7800,35,1
1500,7900,29,0
1500,8000,63,1
1600,0,29,0
1600,100,45,0
1600,200,45,0
1600,300,35,1
1600,400,37,0
1600,500,31,1
1600,600,39,1
1600,700,41,0
1600,800,67,1
1600,900,33,0
1600,1000,39,1
1600,1100,31,1
1600,1200,41,0
1600,1300,33,0
1600,1400,43,1
1600,1500,31,1
1600,1600,33,0
1600,1700,47,1
1600,1800,33,0
1600,1900,60,0
1600,2000,33,0
1600,2100,33,0
1600,2200,33,0
1600,2300,37,0
1600,2400,33,0
1600,2500,35,1
1600,2600,52,0
1600,2700,33,0
1600,2800,27,1
1600,2900,41,0
1600,3000,43,1
1600,3100,39,1
1600,3200,33,0
1600,3300,33,0
1600,3400,31,1
1600,3500,35,1
1600,3600,57,0
1600,3700,37,0
1600,3800,35,1
1600,3900,33,0
1600,4000,41,0
1600,4100,29,0
1600,4200,57,0
1600,4300,100,0
1600,4400,35,1
1600,4500,49,0
1600,4600,47,1
1600,4700,49,0
1600,4800,87,1
1600,4900,41,0
1600,5000,33,0
1600,5100,43,1
1600,5200,49,0
1600,5300,33,0
1600,5400,38,1
1600,5500,33,0
1600,5600,43,1
1600,5700,37,0
1600,5800,45,0
1600,5900,49,0
1600,6000,51,1
1600,6100,35,1
1600,6200,57,0
1600,6300,39,1
1600,6400,37,0
1600,6500,31,1
1600,6600,41,0
1600,6700,79,1
1600,6800,41,0
1600,6900,37,0
1600,7000,35,1
1600,7100,47,1
1600,7200,45,0
1600,7300,58,1
1600,7400,39,1
1600,7500,53,0
1600,7600,37,0
1600,7700,33,0
1600,7800,41,0
1600,7900,65,0
1600,8000,49,0
1700,0,29,0
1700,100,45,0
1700,200,47,1
1700,300,39,1
1700,400,31,1
1700,500,31,1
1700,600,31,1
1700,700,41,0
1700,800,31,1
1700,900,47,1
1700,1000,31,1
1700,1100,31,1
1700,1200,33,0
1700,1300,67,1
1700,1400,31,1
1700,1500,31,1
1700,1600,43,1
1700,1700,37,0
1700,1800,63,1
1700,1900,31,1
1700,2000,57,0
1700,2100,45,0
1700,2200,31,1
1700,2300,61,0
1700,2400,33,0
1700,2500,35,1
1700,2600,51,1
1700,2700,47,1
1700,2800,39,1
1700,2900,46,1
1700,3000,43,1
1700,3100,43,1
1700,3200,35,1
1700,3300,31,1
1700,3400,39,1
1700,3500,35,1
1700,3600,49,0
1700,3700,31,1
1700,3800,35,1
1700,3900,63,1
1700,4000,41,0
1700,4100,29,0
1700,4200,43,1
1700,4300,31,1
1700,4400,37,0
1700,4500,63,1
1700,4600,35,1
1700,4700,35,1
1700,4800,59,1
1700,4900,87,1
1700,5000,43,1
1700,5100,87,1
1700,5200,83,1
1700,5300,31,1
1700,5400,43,1
1700,5500,31,1
1700,5600,27,1
1700,5700,35,1
1700,5800,35,1
1700,5900,37,0
1700,6000,41,0
1700,6100,61,0
1700,6200,35,1
1700,6300,55,1
1700,6400,47,1
1700,6500,35,1
1700,6600,43,1
1700,6700,49,0
1700,6800,35,1
1700,6900,39,1
1700,7000,43,1
1700,7100,39,1
1700,7200,31,1
1700,7300,27,1
1700,7400,47,1
1700,7500,39,1
1700,7600,45,0
1700,7700,42,1
1700,7800,57,0
1700,7900,37,0
1700,8000,41,0
1800,0,29,0
1800,100,37,0
1800,200,33,0
1800,300,37,0
1800,400,45,0
1800,500,31,1
1800,600,41,0
1800,700,57,0
1800,800,47,1
1800,900,77,0
1800,1000,31,1
1800,1100,31,1
1800,1200,29,0
1800,1300,37,0
1800,1400,41,0
1800,1500,31,1
1800,1600,53,0
1800,1700,37,0
